"Country","Year","Electricity","No_Electricity","Clean_Fuels","No_Clean_Fuels","Electricity_Access_Rate","Clean_Fuels_Access_Rate"
"Haiti",2019,5110210.489,6152868.511,363248.595523529,9286147.28682353,0.45371345517509,0.0376446981710087
"Honduras",2019,9042399.277,703715.7233,3429217.67270588,4526966.26847059,0.927795257568956,0.431012869745041
"India",2019,1336565419,29852337.38,386389776.529412,810210398.764706,0.978152847296798,0.322906334552758
"Indonesia",2019,267513373,3112194.021,76634771.6341176,159320605.364706,0.988499999999045,0.324785019137325
"Iran",2019,82913893,548193.474925,68783249.7535294,3515093.95311765,0.993431826376762,0.951380712573717
"Iraq",2019,39309789,344247.248372857,29877820.3809091,1470131.16475455,0.991318733704265,0.953102799632281
"Jamaica",2019,2930108.945,18168.05521,2319610.99588235,463135.474717647,0.993837738038622,0.833568929253628
"Jordan",2019,10101697,44050.2279853067,6805030.38988235,101255.257223529,0.995658256903562,0.985338680964353
"Kazakhstan",2019,18513673,51909.9180016,14489196.1647059,1491029.65781176,0.997203970474244,0.906695332445755
"Kenya",2019,36644055,15929912,2973585.47374118,37100232.9970588,0.697000000019021,0.0742026986000322
"Kiribati",2019,117608,19576.4266268067,3576.10536666667,99559.9779666667,0.85729847688862,0.0346736588310105
"Kyrgyzstan",2019,6448565.674,7634.326462,3669274.12588235,1712772.93294118,0.998817520141654,0.681761806572614
"Laos",2019,7169456,2193196.27027407,288885.160723529,5770682.72158824,0.765750536604103,0.0476742180852206
"Lesotho",2019,948733.6067,1176533.393,551662.148441177,1465591.14582353,0.446406784104737,0.273471928393731
"Liberia",2019,1365144.905,3572229.095,27449.82043,4026073.1796,0.276492099849029,0.0067718427722741
"Madagascar",2019,7256680.951,19712625.05,199119.235205882,19919289.4123529,0.269071845998964,0.00989736507962043
"Malawi",2019,2086419.888,16542329.11,300003.850282353,13604177.2094118,0.112000000012024,0.021576520687868
"Malaysia",2019,31949789,56035.3273862727,28203561.58875,1040608.786125,0.998249214680019,0.964416539338075
"Maldives",2019,530957,14480.489239965,267485.622911765,90009.8476764706,0.973451606232379,0.748221012343554
"Mali",2019,9440027.95,10217995.05,155116.082882353,14070988.7411765,0.4802124786404,0.010903622938306
"Marshall Islands",2019,57288.06894,1502.931057,24561.2946352941,30782.4112470588,0.974436035157138,0.443795626687981
"Mauritania",2019,2073315.888,2452382.112,1320189.36255625,2058734.9500625,0.458120689449451,0.390712913463596
"Mauritius",2019,1265711,8216.7710572,1127463.22147059,109003.543264706,0.993550049505255,0.911842722850669
"Mexico",2019,127575529,2064111.36637143,92291625.6241176,18645447.3211765,0.984078084754493,0.831927715179839
"Micronesia (country)",2019,93458.11441,20352.88559,12039.7375470588,93897.6742176471,0.821169433622409,0.113649534630881
"Moldova",2019,2663251,4820.8385,2371745.35076471,502141.178729412,0.99819313766952,0.825274528560527
"Mongolia",2019,3196954.41,28211.59038,861669.824629412,1809028.29294118,0.99125267028839,0.322638421377716
"Montenegro",2019,622028,1170.4464473,385641.184617647,230582.227147059,0.998121872007268,0.625813913030778
"Morocco",2019,36325878.94,145887.064,29947237.53,1772041.47029412,0.996000000000439,0.944133614440679
"Mozambique",2019,8993256.289,21372786.71,752708.859270588,21697813.7864706,0.296161613460673,0.0335274537322798
"Myanmar",2019,36943640.66,17101781.34,5574851.9484,44780639.45,0.68356651299716,0.110709910549639
"Namibia",2019,1376855.464,1117668.536,777677.1859,1278053.34352941,0.551951179463497,0.378297240210687
"Nauru",2015,10270.26,103.74,9456.9384,917.0616,0.99,0.9116
"Nepal",2019,25719234.79,2889480.215,5468586.42864706,20672752.7476471,0.899000000017652,0.209193048289055
"Nicaragua",2019,5773962.92,771540.0798,2477104.26894118,3198693.26052941,0.882126693727957,0.436432810733513
"Niger",2019,4376523.379,18934195.62,232335.871729412,15326700.9523529,0.187747249631714,0.0149325356290565
"Nigeria",2019,111333836.1,89629766.94,3713492.38617647,148029943.9,0.55400000007882,0.0244721780200964
"North Korea",2019,12672089.81,12994068.19,2172140.658875,22694109.34,0.493727569587938,0.0873529647201839
"North Macedonia",2019,2083458,3774.7006276,1155936.67211765,908395.563329412,0.998191528607967,0.559956702835342
